,Fruit Fly,Horse,Cow,Human,Thale cress,Boar,Chicken,Soybean,Silk worm/moth,Dog,Corn,Asian swallowtail butterfly/caterpillar,Mormon swallowtail butterfly/caterpillar,Rat,Chimpanzee,Diamondback moth/caterpillar,Northern pike,Australian ghostshark,Zebra finch,White-throated sparrow,Pseudogymnoascus,Mucor circinelloides,Puccinia sorghi,Mouse,Orangutan,Zebrafish,Minke whale,Tomato,Date palm tree,Red Clover,Coral,Algae
Fruit Fly,0,23,23,29,48,23,24,49,13,22,45,23,19,21,29,16,21,27,24,23,37,36,56,21,29,21,24,47,49,46,27,132
Horse,23,0,2,11,49,2,10,46,28,5,45,27,30,5,11,28,14,16,10,10,44,42,62,5,11,14,5,46,45,43,25,123
Cow,23,2,0,10,49,0,9,46,28,3,45,26,29,3,10,28,13,15,8,9,44,42,62,3,10,12,3,45,44,43,25,122
Human,29,11,10,0,47,10,13,44,32,11,42,30,30,9,0,31,20,21,12,12,47,42,132,9,0,17,11,44,41,42,28,123
Thale cress,48,49,49,47,0,49,49,13,45,48,14,127,46,47,47,42,50,50,46,46,51,43,77,47,47,49,48,15,16,15,46,32
Boar,23,2,0,10,49,0,9,46,28,3,45,26,29,3,10,28,13,15,8,9,44,42,62,3,10,12,3,45,44,43,25,122
Chicken,24,10,9,13,49,9,0,48,27,10,45,26,28,8,13,27,13,16,6,6,43,42,135,8,13,12,10,46,46,45,24,48
Soybean,49,46,46,44,13,46,48,0,46,45,11,113,44,46,44,43,48,48,45,45,50,45,115,46,44,48,46,9,10,12,43,32
Silk worm/moth,13,28,28,32,45,28,27,46,0,26,43,18,9,25,32,7,26,31,27,26,41,36,134,25,32,25,28,45,47,45,28,45
Dog,22,5,3,11,48,3,10,45,26,0,44,24,27,4,11,26,14,15,8,9,43,41,61,4,11,12,4,44,43,42,25,120
Corn,45,45,45,42,14,45,45,11,43,44,0,122,44,42,42,40,49,46,42,42,49,45,69,42,42,44,44,8,13,15,42,28
Asian swallowtail butterfly/caterpillar,23,27,26,30,127,26,26,113,18,24,122,0,12,25,30,19,25,27,26,25,44,120,130,25,30,26,26,122,123,124,28,49
Mormon swallowtail butterfly/caterpillar,19,30,29,30,46,29,28,44,9,27,44,12,0,28,30,10,29,30,29,28,44,37,136,28,30,27,30,45,43,45,25,46
Rat,21,5,3,9,47,3,8,46,25,4,42,25,28,0,9,25,13,17,6,7,43,40,59,0,9,10,3,43,44,43,24,121
Chimpanzee,29,11,10,0,47,10,13,44,32,11,42,30,30,9,0,31,20,21,12,12,47,42,132,9,0,17,11,44,41,42,28,123
Diamondback moth/caterpillar,16,28,28,31,42,28,27,43,7,26,40,19,10,25,31,0,25,30,24,23,42,38,135,25,31,23,28,42,44,43,28,42
Northern pike,21,14,13,20,50,13,13,48,26,14,49,25,29,13,20,25,0,17,14,15,43,40,131,13,20,8,15,48,50,45,25,47
Australian ghostshark,27,16,15,21,50,15,16,48,31,15,46,27,30,17,21,30,17,0,18,17,49,47,62,17,21,17,17,47,46,46,30,49
Zebra finch,24,10,8,12,46,8,6,45,27,8,42,26,29,6,12,24,14,18,0,1,44,43,128,6,12,10,8,43,43,42,26,122
White-throated sparrow,23,10,9,12,46,9,6,45,26,9,42,25,28,7,12,23,15,17,1,0,44,43,131,7,12,11,9,43,43,42,26,122
Pseudogymnoascus,37,44,44,47,51,44,43,50,41,43,49,44,44,43,47,42,43,49,44,44,0,46,119,43,47,43,44,51,51,50,41,139
Mucor circinelloides,36,42,42,42,43,42,42,45,36,41,45,120,37,40,42,38,40,47,43,43,46,0,65,40,42,41,42,44,44,46,36,43
Puccinia sorghi,56,62,62,132,77,62,135,115,134,61,69,130,136,59,132,135,131,62,128,131,119,65,0,59,132,63,61,105,117,116,63,79
Mouse,21,5,3,9,47,3,8,46,25,4,42,25,28,0,9,25,13,17,6,7,43,40,59,0,9,10,3,43,44,43,24,121
Orangutan,29,11,10,0,47,10,13,44,32,11,42,30,30,9,0,31,20,21,12,12,47,42,132,9,0,17,11,44,41,42,28,123
Zebrafish,21,14,12,17,49,12,12,48,25,12,44,26,27,10,17,23,8,17,10,11,43,41,63,10,17,0,12,46,46,46,25,46
Minke whale,24,5,3,11,48,3,10,46,28,4,44,26,30,3,11,28,15,17,8,9,44,42,61,3,11,12,0,44,45,44,26,122
Tomato,47,46,45,44,15,45,46,9,45,44,8,122,45,43,44,42,48,47,43,43,51,44,105,43,44,46,44,0,11,14,42,30
Date palm tree,49,45,44,41,16,44,46,10,47,43,13,123,43,44,41,44,50,46,43,43,51,44,117,44,41,46,45,11,0,14,41,32
Red Clover,46,43,43,42,15,43,45,12,45,42,15,124,45,43,42,43,45,46,42,42,50,46,116,43,42,46,44,14,14,0,41,29
Coral,27,25,25,28,46,25,24,43,28,25,42,28,25,24,28,28,25,30,26,26,41,36,63,24,28,25,26,42,41,41,0,42
Algae,132,123,122,123,32,122,48,32,45,120,28,49,46,121,123,42,47,49,122,122,139,43,79,121,123,46,122,30,32,29,42,0
